4, 1/8, 1/8, 1/4, 1/4, 1/2, 1/2
0.2,0.229611111,0.210111,0.232111,0.218111,0.226611,0.210611
0.2,0.221611,0.200111,0.231611,0.212111,0.250111,0.201611
0.2,0.229111,0.198111,0.224111,0.212111,0.248111,0.220111
0.2,0.223111,0.219611,0.237611,0.211611,0.208111,0.209611
0.2,0.222111,0.195611,0.220111,0.210111,0.248111,0.217111
0.2,0.225111,0.197611,0.220611,0.210111,0.258111,0.208611
0.2,0.220111,0.197611,0.230611,0.209611,0.234611,0.218111
0.2,0.238611,0.199111,0.217111,0.212111,0.250611,0.239611
5, 1/8, 1/8, 1/4, 1/4, 1/2, 1/2
0.238095,0.25084,0.24084,0.26384,0.24034,0.22484,0.24334
0.238095,0.24634,0.23934,0.22784,0.24534,0.23084,0.24484
0.238095,0.24484,0.24234,0.26684,0.24734,0.30034,0.24534
0.238095,0.24184,0.24084,0.24584,0.24384,0.21034,0.25384
0.238095,0.24184,0.24234,0.24984,0.23434,0.33484,0.26134
0.238095,0.24784,0.24034,0.26084,0.23984,0.29234,0.24684
0.238095,0.25134,0.23434,0.23734,0.23134,0.28684,0.22984
0.238095,0.24084,0.23434,0.24484,0.23884,0.26084,0.23984
6, 1/8, 1/8, 1/4, 1/4, 1/2, 1/2
0.219512,0.229214,0.225214,0.216214,0.233714,0.296214,0.225714
0.219512,0.236714,0.222714,0.245714,0.232214,0.276214,0.231214
0.219512,0.237714,0.218214,0.214714,0.233214,0.243714,0.240214
0.219512,0.252714286,0.218214,0.242714,0.229214,0.253714,0.242214
0.219512,0.242714,0.223714,0.255714,0.236714,0.246714,0.223714
0.219512,0.239714,0.220714,0.255714,0.229714,0.256714,0.232214
0.219512,0.270714,0.224214,0.265214,0.228214,0.281214,0.218214
0.219512,0.227214,0.220714,0.224714,0.232714,0.239214,0.214214
7, 1/8, 1/8, 1/4, 1/4, 1/2, 1/2
0.219512,0.226092,0.220092,0.252092,0.225092,0.275592,0.227592
0.219512,0.218092,0.218592,0.247592,0.221592,0.255092,0.221592
0.219512,0.229592,0.222092,0.247592,0.222092,0.259592,0.230092
0.219512,0.249592,0.227592,0.245592,0.234592,0.276592,0.231092
0.219512,0.235592,0.224092,0.238592,0.218092,0.265592,0.227092
0.219512,0.221592,0.218092,0.256092,0.230092,0.304092,0.227092
0.219512,0.230092,0.227092,0.241592,0.223592,0.297592,0.239592
0.219512,0.249592,0.222092,0.241092,0.222092,0.281592,0.219592
